sigma_theta,sigma_c,sigma_t,stress_ratio,brittleness_index,Wet,depth,rockburst_grade,rock_quality_index,seismic_energy,fracture_volume,total_seismic_energy,seismic_pulses
,,,,,4.486330798479087,710.0,2.0,,4.408,4.873,,
,,,,,4.486330798479087,710.0,2.0,,5.098,3.516,,
,,,,,4.486330798479087,710.0,1.0,,4.736,4.133,,
,,,,,4.486330798479087,710.0,1.0,,4.132,3.504,,
,,,,,4.486330798479087,710.0,1.0,,3.882,4.156,,
,,,,,4.486330798479087,710.0,1.0,,4.76,3.843,,
,,,,,4.486330798479087,710.0,1.0,,3.543,4.223,,
,,,,,4.486330798479087,710.0,1.0,,5.561,4.043,,
,,,,,4.486330798479087,710.0,1.0,,4.368,3.497,,
,,,,,4.486330798479087,710.0,1.0,,5.269,4.817,,
,,,,,4.486330798479087,710.0,1.0,,5.4,3.919,,
,,,,,4.486330798479087,710.0,3.0,,4.11,3.624,,
,,,,,4.486330798479087,710.0,3.0,,5.513,4.777,,
,,,,,4.486330798479087,710.0,2.0,,4.729,4.336,,
,,,,,4.486330798479087,710.0,1.0,,5.204,3.977,,
,,,,,4.486330798479087,710.0,1.0,,3.621,4.681,,
,,,,,4.486330798479087,710.0,0.0,,,,15180.0,48.0
,,,,,4.486330798479087,710.0,0.0,,,,14720.0,33.0
,,,,,4.486330798479087,710.0,0.0,,,,8050.0,30.0
,,,,,4.486330798479087,710.0,0.0,,,,28820.0,171.0
,,,,,4.486330798479087,710.0,0.0,,,,12640.0,57.0
,,,,,4.486330798479087,710.0,0.0,,,,63760.0,195.0
,,,,,4.486330798479087,710.0,0.0,,,,207930.0,614.0
,,,,,4.486330798479087,710.0,0.0,,,,48990.0,194.0
,,,,,4.486330798479087,710.0,0.0,,,,100190.0,303.0
,,,,,4.486330798479087,710.0,0.0,,,,247620.0,675.0
,,,,,4.486330798479087,710.0,0.0,,,,41950.0,135.0
,,,,,4.486330798479087,710.0,0.0,,,,53250.0,140.0
,,,,,4.486330798479087,710.0,0.0,,,,166180.0,448.0
,,,,,4.486330798479087,710.0,0.0,,,,64540.0,215.0
,,,,,4.486330798479087,710.0,0.0,,,,75670.0,207.0
,,,,,4.486330798479087,710.0,0.0,,,,225040.0,575.0
,,,,,4.486330798479087,710.0,0.0,,,,31290.0,117.0
,,,,,4.486330798479087,710.0,0.0,,,,22890.0,81.0
,,,,,4.486330798479087,710.0,0.0,,,,13170.0,59.0
,,,,,4.486330798479087,710.0,0.0,,,,8900.0,38.0
,,,,,4.486330798479087,710.0,0.0,,,,13250.0,32.0
,,,,,4.486330798479087,710.0,0.0,,,,11710.0,70.0
,,,,,4.486330798479087,710.0,0.0,,,,10640.0,62.0
,,,,,4.486330798479087,710.0,0.0,,,,45630.0,155.0
,,,,,4.486330798479087,710.0,0.0,,,,424650.0,1069.0
,,,,,4.486330798479087,710.0,0.0,,,,38820.0,213.0
,,,,,4.486330798479087,710.0,0.0,,,,56960.0,200.0
,,,,,4.486330798479087,710.0,0.0,,,,212260.0,729.0
,,,,,4.486330798479087,710.0,0.0,,,,42950.0,172.0
,,,,,4.486330798479087,710.0,0.0,,,,172290.0,437.0
,,,,,4.486330798479087,710.0,0.0,,,,395110.0,1043.0
,,,,,4.486330798479087,710.0,0.0,,,,51320.0,239.0
,,,,,4.486330798479087,710.0,0.0,,,,144880.0,361.0
,,,,,4.486330798479087,710.0,0.0,,,,477750.0,1132.0
,,,,,4.486330798479087,710.0,0.0,,,,71840.0,255.0
,,,,,4.486330798479087,710.0,3.0,,,,127360.0,351.0
,,,,,4.486330798479087,710.0,0.0,,,,514800.0,1369.0
,,,,,4.486330798479087,710.0,0.0,,,,69440.0,266.0
,,,,,4.486330798479087,710.0,0.0,,,,28460.0,117.0
,,,,,4.486330798479087,710.0,0.0,,,,23220.0,112.0
,,,,,4.486330798479087,710.0,0.0,,,,16630.0,81.0
,,,,,4.486330798479087,710.0,0.0,,,,8750.0,47.0
,,,,,4.486330798479087,710.0,0.0,,,,20150.0,64.0
,,,,,4.486330798479087,710.0,0.0,,,,15590.0,82.0
,,,,,4.486330798479087,710.0,0.0,,,,102720.0,265.0
,,,,,4.486330798479087,710.0,0.0,,,,250030.0,687.0
,,,,,4.486330798479087,710.0,0.0,,,,39510.0,204.0
,,,,,4.486330798479087,710.0,0.0,,,,64200.0,198.0
,,,,,4.486330798479087,710.0,0.0,,,,309010.0,983.0
,,,,,4.486330798479087,710.0,0.0,,,,59060.0,264.0
,,,,,4.486330798479087,710.0,0.0,,,,66510.0,215.0
,,,,,4.486330798479087,710.0,0.0,,,,248900.0,739.0
,,,,,4.486330798479087,710.0,0.0,,,,51620.0,186.0
,,,,,4.486330798479087,710.0,0.0,,,,45150.0,140.0
,,,,,4.486330798479087,710.0,0.0,,,,60460.0,191.0
,,,,,4.486330798479087,710.0,0.0,,,,18330.0,91.0
,,,,,4.486330798479087,710.0,0.0,,,,50580.0,134.0
,,,,,4.486330798479087,710.0,0.0,,,,269070.0,767.0
,,,,,4.486330798479087,710.0,0.0,,,,37360.0,171.0
,,,,,4.486330798479087,710.0,0.0,,,,372770.0,975.0
,,,,,4.486330798479087,710.0,0.0,,,,44180.0,203.0
,,,,,4.486330798479087,710.0,0.0,,,,32070.0,138.0
,,,,,4.486330798479087,710.0,0.0,,,,31540.0,121.0
,,,,,4.486330798479087,710.0,0.0,,,,46380.0,133.0
,,,,,4.486330798479087,710.0,0.0,,,,18160.0,78.0
,,,,,4.486330798479087,710.0,0.0,,,,147520.0,472.0
,,,,,4.486330798479087,710.0,0.0,,,,202640.0,588.0
,,,,,4.486330798479087,710.0,0.0,,,,259110.0,1409.0
,,,,,4.486330798479087,710.0,0.0,,,,40210.0,193.0
,,,,,4.486330798479087,710.0,0.0,,,,59210.0,175.0
,,,,,4.486330798479087,710.0,0.0,,,,590510.0,1780.0
,,,,,4.486330798479087,710.0,0.0,,,,75930.0,305.0
,,,,,4.486330798479087,710.0,0.0,,,,73030.0,240.0
,,,,,4.486330798479087,710.0,0.0,,,,317360.0,1068.0
,,,,,4.486330798479087,710.0,0.0,,,,227990.0,734.0
,,,,,4.486330798479087,710.0,0.0,,,,96080.0,433.0
,,,,,4.486330798479087,710.0,0.0,,,,210960.0,773.0
,,,,,4.486330798479087,710.0,0.0,,,,24900.0,159.0
,,,,,4.486330798479087,710.0,0.0,,,,302440.0,1250.0
,,,,,4.486330798479087,710.0,0.0,,,,46160.0,250.0
,,,,,4.486330798479087,710.0,0.0,,,,436650.0,1232.0
,,,,,4.486330798479087,710.0,0.0,,,,58230.0,279.0
,,,,,4.486330798479087,710.0,0.0,,,,36380.0,222.0
,,,,,4.486330798479087,710.0,0.0,,,,169370.0,644.0
,,,,,4.486330798479087,710.0,0.0,,,,96600.0,383.0
,,,,,4.486330798479087,710.0,0.0,,,,233810.0,839.0
,,,,,4.486330798479087,710.0,0.0,,,,149050.0,697.0
,,,,,4.486330798479087,710.0,0.0,,,,63550.0,325.0
,,,,,4.486330798479087,710.0,0.0,,,,194580.0,697.0
,,,,,4.486330798479087,710.0,0.0,,,,46020.0,267.0
,,,,,4.486330798479087,710.0,0.0,,,,104390.0,331.0
,,,,,4.486330798479087,710.0,0.0,,,,285750.0,791.0
,,,,,4.486330798479087,710.0,0.0,,,,26510.0,106.0
,,,,,4.486330798479087,710.0,0.0,,,,25580.0,120.0
,,,,,4.486330798479087,710.0,0.0,,,,298230.0,916.0
,,,,,4.486330798479087,710.0,0.0,,,,39040.0,231.0
,,,,,4.486330798479087,710.0,0.0,,,,54990.0,182.0
,,,,,4.486330798479087,710.0,0.0,,,,172120.0,537.0
,,,,,4.486330798479087,710.0,0.0,,,,25280.0,158.0
,,,,,4.486330798479087,710.0,0.0,,,,270040.0,717.0
,,,,,4.486330798479087,710.0,0.0,,,,41120.0,132.0
,,,,,4.486330798479087,710.0,0.0,,,,22710.0,68.0
,,,,,4.486330798479087,710.0,0.0,,,,13160.0,46.0
,,,,,4.486330798479087,710.0,0.0,,,,19500.0,80.0
,,,,,4.486330798479087,710.0,0.0,,,,12970.0,53.0
,,,,,4.486330798479087,710.0,0.0,,,,166700.0,363.0
,,,,,4.486330798479087,710.0,0.0,,,,274170.0,997.0
,,,,,4.486330798479087,710.0,0.0,,,,56120.0,222.0
,,,,,4.486330798479087,710.0,0.0,,,,226790.0,717.0
,,,,,4.486330798479087,710.0,0.0,,,,134640.0,611.0
,,,,,4.486330798479087,710.0,0.0,,,,49910.0,208.0
,,,,,4.486330798479087,710.0,0.0,,,,328050.0,707.0
,,,,,4.486330798479087,710.0,0.0,,,,140090.0,380.0
,,,,,4.486330798479087,710.0,0.0,,,,42820.0,150.0
,,,,,4.486330798479087,710.0,0.0,,,,157740.0,440.0
,,,,,4.486330798479087,710.0,0.0,,,,325750.0,1068.0
,,,,,4.486330798479087,710.0,0.0,,,,300520.0,894.0
,,,,,4.486330798479087,710.0,0.0,,,,465730.0,1325.0
,,,,,4.486330798479087,710.0,0.0,,,,336600.0,984.0
,,,,,4.486330798479087,710.0,0.0,,,,112300.0,263.0
,,,,,4.486330798479087,710.0,0.0,,,,951410.0,1332.0
,,,,,4.486330798479087,710.0,0.0,,,,203850.0,476.0
,,,,,4.486330798479087,710.0,0.0,,,,715390.0,1923.0
,,,,,4.486330798479087,710.0,0.0,,,,160350.0,828.0
,,,,,4.486330798479087,710.0,0.0,,,,76150.0,260.0
,,,,,4.486330798479087,710.0,0.0,,,,373180.0,1246.0
,,,,,4.486330798479087,710.0,0.0,,,,481630.0,1678.0
,,,,,4.486330798479087,710.0,0.0,,,,620720.0,1789.0
,,,,,4.486330798479087,710.0,0.0,,,,99160.0,514.0
,,,,,4.486330798479087,710.0,0.0,,,,280830.0,689.0
,,,,,4.486330798479087,710.0,0.0,,,,557230.0,1642.0
,,,,,4.486330798479087,710.0,0.0,,,,65800.0,259.0
,,,,,4.486330798479087,710.0,0.0,,,,270490.0,865.0
,,,,,4.486330798479087,710.0,0.0,,,,307540.0,1020.0
,,,,,4.486330798479087,710.0,0.0,,,,51230.0,222.0
,,,,,4.486330798479087,710.0,0.0,,,,314100.0,904.0
,,,,,4.486330798479087,710.0,0.0,,,,368340.0,1325.0
,,,,,4.486330798479087,710.0,0.0,,,,114540.0,488.0
,,,,,4.486330798479087,710.0,0.0,,,,316200.0,1089.0
,,,,,4.486330798479087,710.0,0.0,,,,209760.0,919.0
,,,,,4.486330798479087,710.0,0.0,,,,46300.0,197.0
,,,,,4.486330798479087,710.0,0.0,,,,372380.0,1264.0
,,,,,4.486330798479087,710.0,0.0,,,,47830.0,264.0
,,,,,4.486330798479087,710.0,0.0,,,,396530.0,1209.0
,,,,,4.486330798479087,710.0,0.0,,,,87740.0,357.0
,,,,,4.486330798479087,710.0,0.0,,,,74570.0,308.0
,,,,,4.486330798479087,710.0,0.0,,,,37490.0,224.0
,,,,,4.486330798479087,710.0,0.0,,,,303610.0,1034.0
,,,,,4.486330798479087,710.0,0.0,,,,278230.0,1060.0
,,,,,4.486330798479087,710.0,0.0,,,,64930.0,273.0
,,,,,4.486330798479087,710.0,0.0,,,,498960.0,1447.0
,,,,,4.486330798479087,710.0,0.0,,,,443740.0,1321.0
,,,,,4.486330798479087,710.0,0.0,,,,39620.0,195.0
,,,,,4.486330798479087,710.0,0.0,,,,788230.0,1484.0
,,,,,4.486330798479087,710.0,0.0,,,,119460.0,269.0
,,,,,4.486330798479087,710.0,0.0,,,,65100.0,172.0
,,,,,4.486330798479087,710.0,0.0,,,,1049580.0,1807.0
,,,,,4.486330798479087,710.0,3.0,,,,715540.0,1471.0
,,,,,4.486330798479087,710.0,3.0,,,,92520.0,169.0
,,,,,4.486330798479087,710.0,0.0,,,,974430.0,1828.0
,,,,,4.486330798479087,710.0,0.0,,,,696470.0,1368.0
,,,,,4.486330798479087,710.0,0.0,,,,61620.0,195.0
,,,,,4.486330798479087,710.0,0.0,,,,1124850.0,2153.0
,,,,,4.486330798479087,710.0,0.0,,,,640820.0,1235.0
,,,,,4.486330798479087,710.0,0.0,,,,1096910.0,2037.0
,,,,,4.486330798479087,710.0,0.0,,,,155540.0,363.0
,,,,,4.486330798479087,710.0,0.0,,,,722590.0,2125.0
,,,,,4.486330798479087,710.0,0.0,,,,582700.0,1232.0
,,,,,4.486330798479087,710.0,0.0,,,,691310.0,1416.0
,,,,,4.486330798479087,710.0,0.0,,,,698810.0,1279.0
,,,,,4.486330798479087,710.0,0.0,,,,94110.0,314.0
,,,,,4.486330798479087,710.0,0.0,,,,716630.0,1677.0
,,,,,4.486330798479087,710.0,0.0,,,,641120.0,1571.0
,,,,,4.486330798479087,710.0,3.0,,,,384230.0,751.0
,,,,,4.486330798479087,710.0,0.0,,,,790830.0,1434.0
,,,,,4.486330798479087,710.0,0.0,,,,390180.0,938.0
,,,,,4.486330798479087,710.0,0.0,,,,69360.0,257.0
,,,,,4.486330798479087,710.0,0.0,,,,936850.0,1737.0
,,,,,4.486330798479087,710.0,0.0,,,,432690.0,1012.0
,,,,,4.486330798479087,710.0,0.0,,,,441960.0,1006.0
,,,,,4.486330798479087,710.0,0.0,,,,912890.0,2001.0
,,,,,4.486330798479087,710.0,0.0,,,,446210.0,1030.0
,,,,,4.486330798479087,710.0,0.0,,,,84630.0,233.0
,,,,,4.486330798479087,710.0,0.0,,,,77540.0,174.0
,,,,,4.486330798479087,710.0,0.0,,,,117040.0,328.0
,,,,,4.486330798479087,710.0,0.0,,,,414700.0,900.0
,,,,,4.486330798479087,710.0,0.0,,,,960770.0,2117.0
,,,,,4.486330798479087,710.0,0.0,,,,763520.0,2079.0
,,,,,4.486330798479087,710.0,0.0,,,,541040.0,1295.0
,,,,,4.486330798479087,710.0,0.0,,,,1127430.0,3031.0
,,,,,4.486330798479087,710.0,0.0,,,,664090.0,1824.0
,,,,,4.486330798479087,710.0,0.0,,,,320150.0,1012.0
,,,,,4.486330798479087,710.0,0.0,,,,768080.0,2124.0
,,,,,4.486330798479087,710.0,0.0,,,,474770.0,1512.0
,,,,,4.486330798479087,710.0,0.0,,,,682910.0,1486.0
,,,,,4.486330798479087,710.0,0.0,,,,1256570.0,3289.0
,,,,,4.486330798479087,710.0,0.0,,,,576040.0,1541.0
,,,,,4.486330798479087,710.0,0.0,,,,782750.0,1593.0
,,,,,4.486330798479087,710.0,0.0,,,,1371400.0,3040.0
,,,,,4.486330798479087,710.0,0.0,,,,891720.0,2037.0
,,,,,4.486330798479087,710.0,3.0,,,,1034700.0,1837.0
,,,,,4.486330798479087,710.0,0.0,,,,2129020.0,3722.0
,,,,,4.486330798479087,710.0,0.0,,,,1547010.0,3060.0
,,,,,4.486330798479087,710.0,0.0,,,,924910.0,1869.0
,,,,,4.486330798479087,710.0,0.0,,,,1988970.0,3697.0
,,,,,4.486330798479087,710.0,0.0,,,,218630.0,645.0
,,,,,4.486330798479087,710.0,0.0,,,,1018360.0,2263.0
,,,,,4.486330798479087,710.0,0.0,,,,1189240.0,2159.0
,,,,,4.486330798479087,710.0,0.0,,,,1582550.0,2545.0
,,,,,4.486330798479087,710.0,0.0,,,,927530.0,1777.0
,,,,,4.486330798479087,710.0,0.0,,,,2052510.0,3635.0
,,,,,4.486330798479087,710.0,0.0,,,,1260100.0,2519.0
,,,,,4.486330798479087,710.0,0.0,,,,1062280.0,1982.0
,,,,,4.486330798479087,710.0,0.0,,,,2196220.0,3848.0
,,,,,4.486330798479087,710.0,0.0,,,,1138340.0,2106.0
,,,,,4.486330798479087,710.0,0.0,,,,918020.0,1759.0
,,,,,4.486330798479087,710.0,3.0,,,,1766860.0,2899.0
,,,,,4.486330798479087,710.0,0.0,,,,1699290.0,3425.0
,,,,,4.486330798479087,710.0,0.0,,,,301550.0,922.0
,,,,,4.486330798479087,710.0,0.0,,,,1355970.0,2326.0
,,,,,4.486330798479087,710.0,0.0,,,,2595650.0,4365.0
,,,,,4.486330798479087,710.0,0.0,,,,2160800.0,4518.0
,,,,,4.486330798479087,710.0,0.0,,,,1367850.0,3137.0
,,,,,4.486330798479087,710.0,0.0,,,,251120.0,624.0
,,,,,4.486330798479087,710.0,0.0,,,,157450.0,418.0
,,,,,4.486330798479087,710.0,0.0,,,,129740.0,306.0
,,,,,4.486330798479087,710.0,0.0,,,,144520.0,407.0
,,,,,4.486330798479087,710.0,0.0,,,,1345240.0,3510.0
,,,,,4.486330798479087,710.0,0.0,,,,2102300.0,4014.0
,,,,,4.486330798479087,710.0,0.0,,,,219070.0,475.0
,,,,,4.486330798479087,710.0,0.0,,,,628360.0,636.0
,,,,,4.486330798479087,710.0,0.0,,,,1449990.0,1581.0
,,,,,4.486330798479087,710.0,0.0,,,,1531530.0,1680.0
,,,,,4.486330798479087,710.0,0.0,,,,195510.0,321.0
,,,,,4.486330798479087,710.0,0.0,,,,1312110.0,1471.0
,,,,,4.486330798479087,710.0,0.0,,,,315650.0,645.0
,,,,,4.486330798479087,710.0,3.0,,,,1061760.0,1443.0
,,,,,4.486330798479087,710.0,0.0,,,,1283710.0,1556.0
,,,,,4.486330798479087,710.0,0.0,,,,1134540.0,1363.0
,,,,,4.486330798479087,710.0,0.0,,,,525630.0,734.0
,,,,,4.486330798479087,710.0,0.0,,,,1661100.0,1772.0
,,,,,4.486330798479087,710.0,0.0,,,,1310730.0,1504.0
,,,,,4.486330798479087,710.0,0.0,,,,1101540.0,1185.0
,,,,,4.486330798479087,710.0,0.0,,,,1496830.0,1645.0
,,,,,4.486330798479087,710.0,0.0,,,,1323740.0,1405.0
,,,,,4.486330798479087,710.0,0.0,,,,943300.0,987.0
,,,,,4.486330798479087,710.0,0.0,,,,348780.0,723.0
,,,,,4.486330798479087,710.0,0.0,,,,154420.0,319.0
,,,,,4.486330798479087,710.0,3.0,,,,1514120.0,1518.0
,,,,,4.486330798479087,710.0,0.0,,,,1811640.0,1927.0
,,,,,4.486330798479087,710.0,0.0,,,,1446770.0,1471.0
,,,,,4.486330798479087,710.0,3.0,,,,1132810.0,1893.0
,,,,,4.486330798479087,710.0,0.0,,,,1367690.0,2902.0
,,,,,4.486330798479087,710.0,0.0,,,,814170.0,2082.0
,,,,,4.486330798479087,710.0,3.0,,,,600400.0,1688.0
,,,,,4.486330798479087,710.0,0.0,,,,886800.0,2519.0
,,,,,4.486330798479087,710.0,3.0,,,,588930.0,1807.0
,,,,,4.486330798479087,710.0,0.0,,,,542890.0,1623.0
,,,,,4.486330798479087,710.0,0.0,,,,1104700.0,2584.0
,,,,,4.486330798479087,710.0,0.0,,,,734930.0,2062.0
,,,,,4.486330798479087,710.0,3.0,,,,509190.0,1758.0
,,,,,4.486330798479087,710.0,0.0,,,,480250.0,2368.0
,,,,,4.486330798479087,710.0,0.0,,,,428740.0,2031.0
,,,,,4.486330798479087,710.0,0.0,,,,450060.0,2019.0
,,,,,4.486330798479087,710.0,3.0,,,,627380.0,3155.0
,,,,,4.486330798479087,710.0,0.0,,,,448900.0,2162.0
,,,,,4.486330798479087,710.0,0.0,,,,453850.0,1973.0
,,,,,4.486330798479087,710.0,0.0,,,,779850.0,2999.0
,,,,,4.486330798479087,710.0,0.0,,,,146840.0,744.0
,,,,,4.486330798479087,710.0,0.0,,,,675030.0,1992.0
,,,,,4.486330798479087,710.0,0.0,,,,811060.0,2877.0
,,,,,4.486330798479087,710.0,3.0,,,,538060.0,2075.0
,,,,,4.486330798479087,710.0,3.0,,,,372470.0,1848.0
,,,,,4.486330798479087,710.0,0.0,,,,439210.0,2259.0
,,,,,4.486330798479087,710.0,0.0,,,,286300.0,1381.0
,,,,,4.486330798479087,710.0,3.0,,,,576200.0,1558.0
,,,,,4.486330798479087,710.0,0.0,,,,833250.0,1840.0
,,,,,4.486330798479087,710.0,3.0,,,,836500.0,2313.0
,,,,,4.486330798479087,710.0,0.0,,,,571990.0,1608.0
,,,,,4.486330798479087,710.0,3.0,,,,754760.0,2218.0
,,,,,4.486330798479087,710.0,0.0,,,,834760.0,2307.0
,,,,,4.486330798479087,710.0,3.0,,,,450490.0,1437.0
,,,,,4.486330798479087,710.0,3.0,,,,932410.0,2464.0
,,,,,4.486330798479087,710.0,3.0,,,,568200.0,1834.0
,,,,,4.486330798479087,710.0,0.0,,,,452730.0,1349.0
,,,,,4.486330798479087,710.0,0.0,,,,833660.0,2493.0
,,,,,4.486330798479087,710.0,0.0,,,,131820.0,583.0
,,,,,4.486330798479087,710.0,0.0,,,,72250.0,339.0
,,,,,4.486330798479087,710.0,0.0,,,,58850.0,236.0
,,,,,4.486330798479087,710.0,0.0,,,,54750.0,233.0
,,,,,4.486330798479087,710.0,0.0,,,,43600.0,194.0
,,,,,4.486330798479087,710.0,0.0,,,,58200.0,219.0
,,,,,4.486330798479087,710.0,0.0,,,,53320.0,203.0
,,,,,4.486330798479087,710.0,3.0,,,,447360.0,1332.0
,,,,,4.486330798479087,710.0,3.0,,,,993080.0,3023.0
,,,,,4.486330798479087,710.0,0.0,,,,593950.0,1972.0
,,,,,4.486330798479087,710.0,0.0,,,,570400.0,1892.0
,,,,,4.486330798479087,710.0,3.0,,,,788650.0,2361.0
,,,,,4.486330798479087,710.0,0.0,,,,383490.0,1401.0
,,,,,4.486330798479087,710.0,3.0,,,,415690.0,1486.0
,,,,,4.486330798479087,710.0,0.0,,,,645750.0,2035.0
,,,,,4.486330798479087,710.0,3.0,,,,649840.0,2256.0
,,,,,4.486330798479087,710.0,3.0,,,,380320.0,1545.0
,,,,,4.486330798479087,710.0,3.0,,,,401730.0,1329.0
,,,,,4.486330798479087,710.0,0.0,,,,459160.0,1714.0
,,,,,4.486330798479087,710.0,0.0,,,,285990.0,1109.0
,,,,,4.486330798479087,710.0,3.0,,,,557510.0,1946.0
,,,,,4.486330798479087,710.0,0.0,,,,536260.0,1733.0
,,,,,4.486330798479087,710.0,0.0,,,,90160.0,425.0
,,,,,4.486330798479087,710.0,0.0,,,,55350.0,246.0
,,,,,4.486330798479087,710.0,0.0,,,,72780.0,269.0
,,,,,4.486330798479087,710.0,0.0,,,,498400.0,1647.0
,,,,,4.486330798479087,710.0,0.0,,,,342050.0,1607.0
,,,,,4.486330798479087,710.0,3.0,,,,434360.0,1584.0
,,,,,4.486330798479087,710.0,0.0,,,,366500.0,1484.0
,,,,,4.486330798479087,710.0,0.0,,,,507230.0,2116.0
,,,,,4.486330798479087,710.0,3.0,,,,388530.0,1539.0
,,,,,4.486330798479087,710.0,0.0,,,,329680.0,1268.0
,,,,,4.486330798479087,710.0,0.0,,,,579440.0,2343.0
,,,,,4.486330798479087,710.0,0.0,,,,292040.0,1233.0
,,,,,4.486330798479087,710.0,3.0,,,,261010.0,1352.0
,,,,,4.486330798479087,710.0,3.0,,,,394660.0,1764.0
,,,,,4.486330798479087,710.0,0.0,,,,464220.0,1808.0
,,,,,4.486330798479087,710.0,0.0,,,,393140.0,1685.0
,,,,,4.486330798479087,710.0,0.0,,,,742750.0,3037.0
,,,,,4.486330798479087,710.0,3.0,,,,820600.0,3506.0
,,,,,4.486330798479087,710.0,0.0,,,,289580.0,1986.0
,,,,,4.486330798479087,710.0,3.0,,,,577770.0,2765.0
,,,,,4.486330798479087,710.0,0.0,,,,347400.0,1684.0
,,,,,4.486330798479087,710.0,0.0,,,,72370.0,581.0
,,,,,4.486330798479087,710.0,0.0,,,,59210.0,440.0
,,,,,4.486330798479087,710.0,0.0,,,,42560.0,379.0
,,,,,4.486330798479087,710.0,3.0,,,,268170.0,1352.0
,,,,,4.486330798479087,710.0,0.0,,,,632800.0,2959.0
,,,,,4.486330798479087,710.0,3.0,,,,332180.0,1890.0
,,,,,4.486330798479087,710.0,0.0,,,,172250.0,1250.0
,,,,,4.486330798479087,710.0,0.0,,,,256850.0,1650.0
,,,,,4.486330798479087,710.0,3.0,,,,199030.0,1255.0
,,,,,4.486330798479087,710.0,3.0,,,,192650.0,1185.0
,,,,,4.486330798479087,710.0,3.0,,,,320110.0,1844.0
,,,,,4.486330798479087,710.0,0.0,,,,233800.0,1315.0
,,,,,4.486330798479087,710.0,3.0,,,,206610.0,1421.0
,,,,,4.486330798479087,710.0,0.0,,,,244480.0,1576.0
,,,,,4.486330798479087,710.0,0.0,,,,430310.0,1955.0
,,,,,4.486330798479087,710.0,0.0,,,,311200.0,1147.0
,,,,,4.486330798479087,710.0,0.0,,,,478520.0,1493.0
,,,,,4.486330798479087,710.0,3.0,,,,65250.0,450.0
,,,,,4.486330798479087,710.0,0.0,,,,379670.0,1456.0
,,,,,4.486330798479087,710.0,3.0,,,,887140.0,3327.0
,,,,,4.486330798479087,710.0,3.0,,,,690550.0,3915.0
,,,,,4.486330798479087,710.0,0.0,,,,397280.0,1630.0
,,,,,4.486330798479087,710.0,3.0,,,,609620.0,2344.0
,,,,,4.486330798479087,710.0,0.0,,,,136810.0,746.0
,,,,,4.486330798479087,710.0,0.0,,,,358490.0,1231.0
,,,,,4.486330798479087,710.0,3.0,,,,581540.0,2102.0
,,,,,4.486330798479087,710.0,0.0,,,,545470.0,1894.0
,,,,,4.486330798479087,710.0,0.0,,,,102550.0,731.0
,,,,,4.486330798479087,710.0,0.0,,,,66800.0,441.0
,,,,,4.486330798479087,710.0,0.0,,,,67210.0,420.0
,,,,,4.486330798479087,710.0,0.0,,,,532290.0,2055.0
,,,,,4.486330798479087,710.0,0.0,,,,511560.0,2205.0
,,,,,4.486330798479087,710.0,3.0,,,,546980.0,2212.0
,,,,,4.486330798479087,710.0,0.0,,,,155980.0,742.0
,,,,,4.486330798479087,710.0,0.0,,,,12340.0,125.0
,,,,,4.486330798479087,710.0,0.0,,,,5920.0,82.0
,,,,,4.486330798479087,710.0,0.0,,,,4150.0,67.0
,,,,,4.486330798479087,710.0,0.0,,,,10420.0,62.0
,,,,,4.486330798479087,710.0,0.0,,,,2970.0,50.0
,,,,,4.486330798479087,710.0,0.0,,,,4230.0,48.0
,,,,,4.486330798479087,710.0,0.0,,,,3210.0,47.0
,,,,,4.486330798479087,710.0,0.0,,,,3550.0,38.0
,,,,,4.486330798479087,710.0,0.0,,,,3170.0,36.0
,,,,,4.486330798479087,710.0,0.0,,,,4490.0,35.0
,,,,,4.486330798479087,710.0,0.0,,,,8790.0,53.0
,,,,,4.486330798479087,710.0,3.0,,,,55730.0,387.0
,,,,,4.486330798479087,710.0,0.0,,,,94740.0,732.0
,,,,,4.486330798479087,710.0,3.0,,,,91510.0,768.0
,,,,,4.486330798479087,710.0,0.0,,,,92450.0,777.0
,,,,,4.486330798479087,710.0,3.0,,,,189840.0,1276.0
,,,,,4.486330798479087,710.0,0.0,,,,108010.0,889.0
,,,,,4.486330798479087,710.0,0.0,,,,71660.0,532.0
,,,,,4.486330798479087,710.0,3.0,,,,122850.0,886.0
,,,,,4.486330798479087,710.0,0.0,,,,110510.0,708.0
,,,,,4.486330798479087,710.0,3.0,,,,91420.0,774.0
,,,,,4.486330798479087,710.0,0.0,,,,151660.0,900.0
,,,,,4.486330798479087,710.0,0.0,,,,103140.0,762.0
,,,,,4.486330798479087,710.0,0.0,,,,76560.0,586.0
,,,,,4.486330798479087,710.0,3.0,,,,122640.0,979.0
,,,,,4.486330798479087,710.0,0.0,,,,176830.0,1297.0
,,,,,4.486330798479087,710.0,3.0,,,,122410.0,902.0
,,,,,4.486330798479087,710.0,0.0,,,,184710.0,1482.0
,,,,,4.486330798479087,710.0,0.0,,,,80040.0,751.0
,,,,,4.486330798479087,710.0,0.0,,,,18900.0,208.0
,,,,,4.486330798479087,710.0,0.0,,,,11350.0,94.0
,,,,,4.486330798479087,710.0,0.0,,,,10490.0,93.0
,,,,,4.486330798479087,710.0,3.0,,,,83180.0,744.0
,,,,,4.486330798479087,710.0,0.0,,,,127770.0,1141.0
,,,,,4.486330798479087,710.0,0.0,,,,108260.0,891.0
