sigma_theta,sigma_c,sigma_t,stress_ratio,brittleness_index,Wet,depth,rockburst_grade,rock_quality_index,seismic_energy,fracture_volume,total_seismic_energy,seismic_pulses
26.9,62.8,2.1,0.42,29.9,2.4,710.0,,,,,,
40.4,72.1,2.1,0.56,34.3,1.9,710.0,,,,,,
39.4,65.2,2.3,0.6,28.3,3.4,710.0,,,,,,
38.2,71.4,3.4,0.53,21.0,3.6,710.0,,,,,,
45.7,69.1,3.2,0.66,21.5,4.1,710.0,,,,,,
35.8,67.8,3.8,0.52,17.8,4.3,710.0,,,,,,
39.4,69.2,2.7,0.57,25.6,3.8,710.0,,,,,,
40.6,66.6,2.6,0.61,25.6,3.7,710.0,,,,,,
39.0,70.1,2.4,0.56,29.2,4.8,710.0,,,,,,
57.2,80.6,2.5,0.71,32.2,5.5,710.0,,,,,,
55.6,114.0,2.3,0.49,49.5,4.7,710.0,,,,,,
56.9,123.0,2.7,0.46,45.5,5.2,710.0,,,,,,
62.1,132.0,2.4,0.47,55.0,5.0,710.0,,,,,,
29.7,116.0,2.7,0.26,42.9,3.7,710.0,,,,,,
29.1,94.0,2.6,0.31,36.1,3.2,710.0,,,,,,
27.8,90.0,2.1,0.31,42.8,1.8,710.0,,,,,,
30.3,88.0,3.1,0.34,28.3,3.0,710.0,,,,,,
55.6,114.0,2.3,0.49,49.5,4.7,710.0,,,,,,
41.6,67.6,2.7,0.61,25.0,3.7,710.0,,,,,,
40.1,72.1,2.3,0.55,31.3,4.6,710.0,,,,,,
58.2,83.6,2.6,0.69,32.1,5.9,710.0,,,,,,
56.8,112.0,2.2,0.5,50.9,5.2,710.0,,,,,,
90.0,170.0,11.3,0.529,15.044,9.0,710.0,,,,,,
90.0,220.0,7.4,0.409,29.73,7.3,710.0,,,,,,
62.6,165.0,9.4,0.379,17.553,9.0,710.0,,,,,,
55.4,176.0,7.3,0.315,24.11,9.3,710.0,,,,,,
30.0,88.7,3.7,0.338,23.973,6.6,710.0,,,,,,
48.75,180.0,8.3,0.271,21.687,5.0,710.0,,,,,,
80.0,180.0,6.7,0.444,26.866,5.5,710.0,,,,,,
89.0,236.0,8.3,0.377,28.434,5.0,710.0,,,,,,
98.6,120.0,6.5,0.822,18.462,3.8,710.0,,,,,,
108.4,140.0,8.0,0.774,17.5,5.0,710.0,,,,,,
57.0,180.0,8.3,0.317,21.687,5.0,710.0,,,,,,
50.0,130.0,6.0,0.385,21.667,5.0,710.0,,,,,,
62.5,175.0,7.25,0.357,24.138,5.0,710.0,,,,,,
75.0,180.0,8.3,0.417,21.687,5.0,710.0,,,,,,
11.0,115.0,5.0,0.096,23.0,5.7,710.0,,,,,,
43.4,123.0,6.0,0.353,20.5,5.0,710.0,,,,,,
18.8,178.0,5.7,0.106,31.228,7.4,710.0,,,,,,
34.0,150.0,5.4,0.227,27.778,7.8,710.0,,,,,,
56.1,131.99,9.44,0.425,13.982,7.44,710.0,,,,,,
54.2,134.0,9.1,0.404,14.725,7.1,710.0,,,,,,
70.3,128.3,8.7,0.548,14.725,7.1,710.0,,,,,,
60.7,111.5,7.86,0.544,14.186,6.16,710.0,,,,,,
54.2,134.0,9.09,0.404,14.741,7.08,710.0,,,,,,
70.3,129.0,8.73,0.545,14.777,6.43,710.0,,,,,,
35.0,133.4,9.3,0.262,14.344,2.9,710.0,,,,,,
157.3,91.23,6.92,1.724,13.184,6.27,710.0,,,,,,
148.4,66.77,3.81,2.223,17.525,5.08,710.0,,,,,,
132.1,51.5,2.47,2.565,20.85,4.63,710.0,,,,,,
127.9,35.82,1.24,3.571,28.887,3.67,710.0,,,,,,
107.5,21.5,0.6,5.0,35.833,2.29,710.0,,,,,,
96.41,18.32,0.38,5.263,48.211,1.87,710.0,,,,,,
167.2,110.3,8.36,1.516,13.194,6.83,710.0,,,,,,
118.5,26.06,0.77,4.547,33.844,2.89,710.0,,,,,,
34.15,54.2,12.1,0.63,4.479,3.17,710.0,,,,,,
60.0,135.0,15.04,0.444,8.976,4.86,710.0,,,,,,
60.0,66.49,9.72,0.902,6.841,2.15,710.0,,,,,,
60.0,106.38,11.2,0.564,9.498,6.11,710.0,,,,,,
60.0,86.03,7.14,0.697,12.049,2.85,710.0,,,,,,
60.0,149.19,9.3,0.402,16.042,3.5,710.0,,,,,,
60.0,136.79,10.42,0.439,13.128,2.12,710.0,,,,,,
63.8,110.0,4.5,0.58,24.444,6.31,710.0,,,,,,
2.6,20.0,3.0,0.13,6.667,1.39,710.0,,,,,,
44.4,120.0,5.0,0.37,24.0,5.1,710.0,,,,,,
13.5,30.0,2.67,0.45,11.236,2.03,710.0,,,,,,
70.4,110.0,4.5,0.64,24.444,6.31,710.0,,,,,,
3.8,20.0,3.0,0.19,6.667,1.39,710.0,,,,,,
57.6,120.0,5.0,0.48,24.0,5.1,710.0,,,,,,
19.5,30.0,2.67,0.65,11.236,2.03,710.0,,,,,,
81.4,110.0,4.5,0.74,24.444,6.31,710.0,,,,,,
4.6,20.0,3.0,0.23,6.667,1.39,710.0,,,,,,
73.2,120.0,5.0,0.61,24.0,5.1,710.0,,,,,,
30.0,30.0,2.67,1.0,11.236,2.03,710.0,,,,,,
15.2,53.8,5.56,0.283,9.676,1.92,710.0,,,,,,
88.9,142.0,13.2,0.626,10.758,3.62,710.0,,,,,,
59.82,85.8,7.31,0.697,11.737,2.78,710.0,,,,,,
32.3,67.4,6.7,0.479,10.06,1.1,710.0,,,,,,
30.1,88.7,3.7,0.339,23.973,6.6,710.0,,,,,,
18.8,171.5,6.3,0.11,27.222,7.0,710.0,,,,,,
34.0,149.0,5.9,0.228,25.254,7.6,710.0,,,,,,
38.2,53.0,3.9,0.721,13.59,1.6,710.0,,,,,,
11.3,90.0,4.8,0.126,18.75,3.6,710.0,,,,,,
92.0,263.0,10.7,0.35,24.579,8.0,710.0,,,,,,
62.4,235.0,9.5,0.266,24.737,9.0,710.0,,,,,,
43.4,136.5,7.2,0.318,18.958,5.6,710.0,,,,,,
11.0,105.0,4.9,0.105,21.429,4.7,710.0,,,,,,
46.4,100.0,4.9,0.464,20.408,2.0,710.0,,,,,,
23.0,80.0,3.0,0.288,26.667,0.85,710.0,,,,,,
46.2,105.0,5.3,0.44,19.811,2.3,710.0,,,,,,
13.9,124.0,4.22,0.112,29.384,2.04,710.0,,,,,,
17.4,161.0,3.98,0.108,40.452,2.19,710.0,,,,,,
19.0,15.0,4.48,0.124,34.152,2.11,710.0,,,,,,
19.7,142.0,4.55,0.39,31.209,2.26,710.0,,,,,,
18.7,82.0,10.9,0.228,7.523,1.5,710.0,,,,,,
28.6,122.0,12.0,0.234,10.167,2.5,710.0,,,,,,
29.8,132.0,11.5,0.226,11.478,4.6,710.0,,,,,,
33.6,156.0,10.8,0.215,14.444,5.2,710.0,,,,,,
26.9,92.8,9.47,0.29,9.799,3.7,710.0,,,,,,
55.9,128.0,6.29,0.437,20.35,8.1,710.0,,,,,,
59.9,96.6,11.7,0.62,8.256,1.8,710.0,,,,,,
68.0,107.0,6.1,0.636,17.541,7.2,710.0,,,,,,
105.5,187.0,19.2,0.564,9.74,7.27,710.0,,,,,,
105.5,170.0,12.1,0.621,14.05,5.76,710.0,,,,,,
105.5,190.0,17.1,0.555,11.111,3.97,710.0,,,,,,
47.56,58.5,3.5,0.813,16.714,5.0,710.0,,,,,,
43.62,78.1,3.2,0.559,24.406,6.0,710.0,,,,,,
25.7,59.7,1.3,0.43,45.923,1.7,710.0,,,,,,
26.9,62.8,2.1,0.428,29.905,2.4,710.0,,,,,,
40.47,72.1,2.1,0.56,34.333,1.9,710.0,,,,,,
39.4,65.2,2.3,0.604,28.348,3.4,710.0,,,,,,
38.2,71.4,3.4,0.535,21.0,3.6,710.0,,,,,,
45.7,69.1,3.2,0.661,21.594,4.1,710.0,,,,,,
35.8,67.8,3.8,0.528,17.842,4.3,710.0,,,,,,
39.4,69.2,2.7,0.569,25.63,3.8,710.0,,,,,,
40.6,66.6,2.6,0.61,25.615,3.7,710.0,,,,,,
39.0,70.1,2.4,0.556,29.208,4.8,710.0,,,,,,
57.2,80.6,2.5,0.71,32.24,5.5,710.0,,,,,,
55.6,114.0,2.3,0.488,49.565,4.7,710.0,,,,,,
56.9,123.0,2.7,0.463,45.556,5.2,710.0,,,,,,
62.1,132.0,2.4,0.47,55.0,5.0,710.0,,,,,,
29.7,116.0,2.7,0.256,42.963,3.7,710.0,,,,,,
29.1,94.0,2.6,0.31,36.154,3.2,710.0,,,,,,
27.8,90.0,2.1,0.309,42.857,1.8,710.0,,,,,,
30.3,88.0,3.1,0.344,28.387,3.0,710.0,,,,,,
55.6,114.0,2.3,0.488,49.565,4.7,710.0,,,,,,
41.6,67.6,2.7,0.615,25.037,3.7,710.0,,,,,,
40.1,72.1,2.3,0.556,31.348,4.6,710.0,,,,,,
58.2,83.6,2.6,0.696,32.154,5.9,710.0,,,,,,
56.8,112.0,2.2,0.507,50.909,5.2,710.0,,,,,,
89.56,190.3,17.13,0.471,11.109,3.97,710.0,,,,,,
89.56,170.28,12.07,0.526,14.108,5.76,710.0,,,,,,
